Index,Player,Tm,Year,Pos,PTS,FG,3P,2P,FT,TRB,AST,TOV,STL,BLK
14717,Jerome Kersey,SAS,2000,SF,321,146,0,146,29,225,69,51,67,47
14718,Lari Ketner,TOT,2000,PF,34,13,0,13,8,34,1,10,4,3
14719,Lari Ketner,CHI,2000,PF,10,4,0,4,2,7,1,3,1,1
14720,Lari Ketner,CLE,2000,PF,24,9,0,9,6,27,0,7,3,2
14721,Jason Kidd,PHO,2000,PG,959,350,56,294,203,483,678,226,134,28
14722,Gerard King,WAS,2000,SF,327,139,0,139,49,250,49,41,34,15
14723,Kerry Kittles,NJN,2000,SG,807,305,96,209,101,225,142,56,79,19
14724,Joe Kleine,POR,2000,C,11,4,0,4,3,6,2,2,1,0
14725,Brevin Knight,CLE,2000,PG,602,230,2,228,140,193,458,157,107,21
14726,Travis Knight,LAL,2000,C,109,46,0,46,17,129,23,26,6,23
14727,Toni Kukoc,TOT,2000,SF,830,297,44,253,192,273,265,146,77,28
14728,Toni Kukoc,CHI,2000,SF,432,148,18,130,118,130,124,75,44,19
14729,Toni Kukoc,PHI,2000,SF,398,149,26,123,74,143,141,71,33,9
14730,Christian Laettner,DET,2000,C,1002,379,7,372,237,553,186,186,83,45
14731,Raef LaFrentz,DEN,2000,C,1006,392,60,332,162,641,97,96,42,180
14732,Andrew Lang,NYK,2000,C,59,28,0,28,3,60,3,5,8,6
14733,Antonio Lang,TOT,2000,SF,6,1,0,1,4,5,2,2,4,1
14734,Antonio Lang,TOR,2000,SF,3,0,0,0,3,5,1,2,4,1
14735,Antonio Lang,PHI,2000,SF,3,1,0,1,1,0,1,0,0,0
14736,Trajan Langdon,CLE,2000,SG,49,15,8,7,11,15,11,6,5,0
14737,Rusty LaRue,CHI,2000,PG,37,15,2,13,5,10,11,7,7,0
14738,Tim Legler,GSW,2000,SG,77,28,7,21,14,23,24,6,4,1
14739,Voshon Lenard,MIA,2000,SG,629,228,89,139,84,153,136,80,41,15
14740,Quincy Lewis,UTA,2000,SG,283,111,23,88,38,113,40,46,24,15
14741,Rashard Lewis,SEA,2000,SF,674,275,40,235,84,336,70,78,62,36
14742,Randy Livingston,PHO,2000,PG,381,155,19,136,52,130,170,92,49,13
14743,Grant Long,VAN,2000,PF,203,74,0,74,55,234,43,49,45,10
14744,Luc Longley,PHO,2000,C,452,186,0,186,80,323,77,136,22,42
14745,Felipe Lopez,VAN,2000,SG,292,111,3,108,67,124,44,53,32,17
14746,Tyronn Lue,LAL,2000,PG,48,19,4,15,6,12,17,9,3,0
14747,George Lynch,PHI,2000,SF,722,297,15,282,113,582,136,120,119,38
14748,Todd MacCulloch,PHI,2000,C,206,89,0,89,28,146,13,26,11,37
14749,Sam Mack,GSW,2000,SF,114,37,21,16,19,39,24,19,18,1
14750,Don MacLean,PHO,2000,PF,42,18,2,16,4,23,8,8,2,1
14751,Corey Maggette,ORL,2000,SF,646,224,2,222,196,303,61,138,24,26
14752,Dan Majerle,MIA,2000,SG,506,170,110,60,56,333,206,62,89,17
14753,Karl Malone*,UTA,2000,PF,2095,752,2,750,589,779,304,231,79,71
14754,Matt Maloney,CHI,2000,PG,327,114,62,52,37,64,138,63,32,3
14755,Danny Manning,MIL,2000,PF,333,149,1,148,34,208,73,55,62,29
14756,Stephon Marbury,NJN,2000,PG,1640,569,66,503,436,240,622,270,112,15
14757,Shawn Marion,PHO,2000,SF,520,222,4,218,72,332,69,51,38,53
14758,Sean Marks,TOR,2000,PF,8,2,0,2,4,2,0,3,1,1
14759,Donny Marshall,CLE,2000,SF,11,3,0,3,5,1,0,3,2,0
14760,Donyell Marshall,GSW,2000,PF,910,331,49,282,199,637,167,123,68,68
14761,Darrick Martin,SAC,2000,PG,402,133,38,95,98,44,122,62,28,2
14762,Jamal Mashburn,MIA,2000,SF,1328,515,112,403,186,381,298,180,79,14
14763,Anthony Mason,CHH,2000,SF,948,317,0,317,314,699,367,160,74,29
14764,Tony Massenburg,HOU,2000,PF,46,16,0,16,14,27,3,9,2,5
14765,Vernon Maxwell,SEA,2000,SG,513,169,67,102,108,79,75,53,38,9
14766,Walter McCarty,BOS,2000,PF,229,78,34,44,39,110,70,67,24,23
14767,George McCloud,DEN,2000,SF,787,266,107,159,148,285,246,134,48,26
14768,Jelani McCoy,SEA,2000,C,249,102,0,102,45,179,24,45,15,46
14769,Antonio McDyess,DEN,2000,PF,1551,614,0,614,323,685,159,230,69,139
14770,Tracy McGrady,TOR,2000,SF,1213,459,18,441,277,501,263,160,90,151
14771,Jim McIlvaine,NJN,2000,C,157,64,0,64,29,230,36,38,26,117
14772,Jeff McInnis,LAC,2000,PG,180,80,7,73,13,72,89,27,15,2
14773,Derrick McKey,IND,2000,SF,139,43,10,33,43,135,35,19,29,13
14774,Aaron McKie,PHI,2000,SG,653,244,44,200,121,246,240,113,108,18
14775,Roshown McLeod,ATL,2000,SF,318,131,2,129,54,138,52,59,16,5
14776,Ron Mercer,TOT,2000,SG,1148,460,15,445,213,250,158,151,75,23
14777,Ron Mercer,DEN,2000,SG,678,272,15,257,119,152,104,87,33,15
